"";"disp_id";"district_id";"account_id";"client_id";"type.x";"gender";"age";"loan_id";"date";"amount";"duration";"payments";"status";"current_time";"name";"region";"no..of.inhabitants";"no..of.municipalities.with.inhabitants...499";"no..of.municipalities.with.inhabitants.500.1999";"no..of.municipalities.with.inhabitants.2000.9999";"no..of.municipalities.with.inhabitants..10000";"no..of.cities";"ratio.of.urban.inhabitants";"average.salary";"unemploymant.rate..95";"unemploymant.rate..96";"no..of.enterpreneurs.per.1000.inhabitants";"no..of.commited.crimes..95";"no..of.commited.crimes..96";"card_id";"type.y";"issued";"weeks"
"1";2;1;2;2;"OWNER";"0";54;4959;1994-01-05;80952;24;3373;1;256,863095238095;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"2";3;1;2;3;"DISPONENT";"1";58;4959;1994-01-05;80952;24;3373;1;256,863095238095;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"3";25;21;19;25;"OWNER";"1";60;4961;1996-04-29;30276;12;2523;-1;136,14880952381;"Tabor";"south Bohemia";103347;87;16;7;1;7;"67.0";9104;"1.51";"2.07";123;2299;2354;NA;NA;NA;NA
"4";78;16;67;78;"OWNER";"1";54;4973;1996-05-02;165960;24;6915;1;135,720238095238;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"5";158;40;132;158;"OWNER";"1";53;4996;1996-11-06;88440;12;7370;1;108,857142857143;"Teplice";"north Bohemia";128118;9;16;6;3;8;"85.3";9317;"6.49";"7.07";97;6949;6872;NA;NA;NA;NA
"6";159;40;132;159;"DISPONENT";"0";60;4996;1996-11-06;88440;12;7370;1;108,857142857143;"Teplice";"north Bohemia";128118;9;16;6;3;8;"85.3";9317;"6.49";"7.07";97;6949;6872;NA;NA;NA;NA
"7";210;66;173;210;"OWNER";"0";59;5002;1994-05-31;104808;12;8734;1;236,011904761905;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"8";211;66;173;211;"DISPONENT";"1";53;5002;1994-05-31;104808;12;8734;1;236,011904761905;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"9";352;56;290;352;"OWNER";"0";58;5032;1994-11-03;123696;48;2577;1;213,720238095238;"Breclav";"south Moravia";124605;11;42;14;1;8;"46.0";8772;"4.69";"4.98";126;2854;3158;NA;NA;NA;NA
"10";421;54;344;421;"OWNER";"0";33;5044;1994-12-21;100980;60;1683;1;206,863095238095;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"11";424;1;347;424;"OWNER";"0";51;5045;1995-05-01;187224;24;7801;-1;188,154761904762;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"12";512;60;426;512;"OWNER";"1";33;5060;1994-07-19;252060;60;4201;-1;229,011904761905;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"13";603;13;501;603;"OWNER";"1";33;5082;1996-10-24;262980;60;4383;1;110,720238095238;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;"41.3";8598;"2.77";"3.26";123;1597;1875;NA;NA;NA;NA
"14";655;32;544;655;"OWNER";"0";56;5088;1996-08-22;91152;24;3798;1;119,720238095238;"Ceska Lipa";"north Bohemia";105058;32;19;7;2;10;"81.0";9272;"2.80";"3.22";118;4340;4505;119;"classic";1996-08-08;121,720238095238
"15";944;39;789;944;"OWNER";"0";28;5125;1995-11-23;73056;48;1522;1;158,720238095238;"Most";"north Bohemia";119895;17;4;3;2;4;"89.9";10446;"7.34";"9.40";90;4947;4743;NA;NA;NA;NA
"16";945;39;789;945;"DISPONENT";"1";22;5125;1995-11-23;73056;48;1522;1;158,720238095238;"Most";"north Bohemia";119895;17;4;3;2;4;"89.9";10446;"7.34";"9.40";90;4947;4743;NA;NA;NA;NA
"17";946;54;790;946;"OWNER";"0";47;5126;1994-07-24;208128;48;4336;-1;228,297619047619;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"18";968;69;808;968;"OWNER";"0";42;5128;1996-04-11;215616;48;4492;-1;138,720238095238;"Jesenik";"north Moravia";42821;4;13;5;1;3;"48.4";8173;NA;"7.01";124;NA;1358;NA;NA;NA;NA
"19";976;16;813;976;"OWNER";"1";43;5130;1994-05-11;24312;12;2026;1;238,869047619048;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"20";980;40;816;980;"OWNER";"0";37;5131;1995-01-08;48624;24;2026;1;204,291666666667;"Teplice";"north Bohemia";128118;9;16;6;3;8;"85.3";9317;"6.49";"7.07";97;6949;6872;NA;NA;NA;NA
"21";981;5;817;981;"OWNER";"0";38;5132;1995-02-17;538500;60;8975;1;198,577380952381;"Kolin";"central Bohemia";95616;65;30;4;1;6;"51.4";9307;"3.85";"4.43";118;2616;3040;NA;NA;NA;NA
"22";1020;72;846;1020;"OWNER";"1";22;5136;1996-07-28;187104;24;7796;1;123,291666666667;"Olomouc";"north Moravia";226122;32;50;7;4;4;"62.6";8994;"3.80";"4.79";110;9672;9208;NA;NA;NA;NA
"23";1029;1;854;1029;"OWNER";"1";45;5138;1995-05-30;87216;48;1817;1;184,011904761905;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"24";1102;72;915;1102;"OWNER";"0";64;5145;1995-09-16;309552;48;6449;1;168,440476190476;"Olomouc";"north Moravia";226122;32;50;7;4;4;"62.6";8994;"3.80";"4.79";110;9672;9208;NA;NA;NA;NA
"25";1133;37;940;1133;"OWNER";"1";40;5148;1996-05-29;284280;60;4738;1;131,863095238095;"Litomerice";"north Bohemia";114006;71;26;6;2;9;"62.3";9065;"4.46";"5.39";123;4147;4166;NA;NA;NA;NA
"26";1134;37;940;1134;"DISPONENT";"0";39;5148;1996-05-29;284280;60;4738;1;131,863095238095;"Litomerice";"north Bohemia";114006;71;26;6;2;9;"62.3";9065;"4.46";"5.39";123;4147;4166;NA;NA;NA;NA
"27";1157;4;960;1157;"OWNER";"1";40;5151;1995-05-24;189060;60;3151;1;184,869047619048;"Kladno";"central Bohemia";149893;63;29;6;2;6;"67.4";9753;"4.64";"5.05";109;5244;5892;NA;NA;NA;NA
"28";1215;45;1011;1215;"OWNER";"0";55;5160;1995-12-18;204000;60;3400;1;155,14880952381;"Jicin";"east Bohemia";77917;85;19;6;1;5;"53.5";8390;"2.28";"2.89";132;2080;2122;NA;NA;NA;NA
"29";1216;65;1012;1216;"OWNER";"1";53;5161;1994-10-28;98184;24;4091;1;214,577380952381;"Znojmo";"south Moravia";114200;101;41;4;1;4;"43.7";8403;"5.74";"5.72";105;2157;2718;NA;NA;NA;NA
"30";1286;52;1071;1286;"OWNER";"1";49;5170;1994-01-20;253200;60;4220;1;254,720238095238;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"31";1327;20;1106;1327;"OWNER";"1";35;5176;1994-11-12;192552;24;8023;-1;212,434523809524;"Strakonice";"south Bohemia";70646;94;14;3;1;4;"58.4";8547;"2.65";"3.64";120;1563;1542;NA;NA;NA;NA
"32";1404;11;1166;1404;"OWNER";"1";30;5189;1994-02-07;149040;48;3105;1;252,14880952381;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"33";1505;65;1247;1505;"OWNER";"1";27;5208;1995-03-16;99696;48;2077;-1;194,720238095238;"Znojmo";"south Moravia";114200;101;41;4;1;4;"43.7";8403;"5.74";"5.72";105;2157;2718;NA;NA;NA;NA
"34";1509;62;1250;1509;"OWNER";"1";57;5209;1996-11-25;182640;48;3805;1;106,142857142857;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;"40.7";8544;"1.29";"1.86";109;2719;2906;NA;NA;NA;NA
"35";1516;38;1256;1516;"OWNER";"1";52;5212;1995-05-29;71064;36;1974;1;184,154761904762;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"36";1663;19;1375;1663;"OWNER";"0";42;5237;1995-08-29;45336;24;1889;1;171,011904761905;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"37";1851;31;1527;1851;"OWNER";"1";23;5269;1994-11-19;164052;36;4557;-1;211,434523809524;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"38";1917;69;1583;1917;"OWNER";"1";30;5282;1996-08-24;388512;48;8094;-1;119,434523809524;"Jesenik";"north Moravia";42821;4;13;5;1;3;"48.4";8173;NA;"7.01";124;NA;1358;NA;NA;NA;NA
"39";1944;31;1603;1944;"OWNER";"1";42;5285;1994-02-06;78936;12;6578;1;252,291666666667;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"40";2063;68;1698;2063;"OWNER";"1";48;5301;1996-07-06;141948;36;3943;1;126,434523809524;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;"57.2";9893;"4.09";"4.72";96;5623;5887;NA;NA;NA;NA
"41";2136;28;1762;2136;"OWNER";"1";58;5310;1995-04-28;248148;36;6893;1;188,583333333333;"Plzen - sever";"west Bohemia";72541;66;26;10;0;8;"36.9";8594;"1.62";"2.01";112;1580;1525;NA;NA;NA;NA
"42";2141;28;1766;2141;"OWNER";"0";47;5311;1996-06-15;30060;60;501;1;129,434523809524;"Plzen - sever";"west Bohemia";72541;66;26;10;0;8;"36.9";8594;"1.62";"2.01";112;1580;1525;337;"classic";1996-01-01;153,14880952381
"43";2148;31;1772;2148;"OWNER";"1";45;5312;1996-03-13;202788;36;5633;1;142,863095238095;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"44";2166;30;1787;2166;"OWNER";"1";51;5314;1993-07-05;96396;12;8033;-1;283,154761904762;"Sokolov";"west Bohemia";94812;15;13;8;2;10;"81.8";9650;"3.38";"3.67";100;2985;2804;NA;NA;NA;NA
"45";2181;46;1801;2181;"OWNER";"0";30;5316;1993-07-11;165960;36;4610;1;282,297619047619;"Nachod";"east Bohemia";112709;48;20;7;3;10;"73.5";8369;"1.79";"2.31";117;2854;2618;NA;NA;NA;NA
"46";2195;68;1811;2195;"OWNER";"1";56;5319;1994-06-23;239460;60;3991;1;232,72619047619;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;"57.2";9893;"4.09";"4.72";96;5623;5887;NA;NA;NA;NA
"47";2235;14;1843;2235;"OWNER";"1";59;5325;1993-08-03;105804;36;2939;1;279,011904761905;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;"74.8";10045;"1.42";"1.71";135;6604;6295;NA;NA;NA;NA
"48";2259;19;1862;2259;"OWNER";"1";49;5329;1996-10-16;396120;60;6602;1;111,863095238095;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"49";2288;32;1886;2288;"OWNER";"1";41;5337;1996-07-31;162468;36;4513;1;122,863095238095;"Ceska Lipa";"north Bohemia";105058;32;19;7;2;10;"81.0";9272;"2.80";"3.22";118;4340;4505;NA;NA;NA;NA
"50";2289;32;1886;2289;"DISPONENT";"0";44;5337;1996-07-31;162468;36;4513;1;122,863095238095;"Ceska Lipa";"north Bohemia";105058;32;19;7;2;10;"81.0";9272;"2.80";"3.22";118;4340;4505;NA;NA;NA;NA
"51";2392;26;1967;2392;"OWNER";"0";43;5350;1996-04-21;249312;48;5194;1;137,291666666667;"Plzen - mesto";"west Bohemia";170449;0;0;0;1;1;"100.0";10787;"2.64";"3.09";131;6041;6261;NA;NA;NA;NA
"52";2403;1;1978;2403;"OWNER";"1";36;5351;1994-12-04;205200;36;5700;1;209,291666666667;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"53";2422;68;1993;2422;"OWNER";"1";22;5352;1995-04-15;68400;12;5700;-1;190,440476190476;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;"57.2";9893;"4.09";"4.72";96;5623;5887;NA;NA;NA;NA
"54";2501;70;2062;2501;"OWNER";"1";58;5366;1996-10-29;86184;12;7182;1;110;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"55";2550;1;2106;2550;"OWNER";"1";22;5375;1996-10-03;101520;12;8460;1;113,720238095238;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"56";2592;1;2143;2592;"OWNER";"1";18;5385;1996-09-09;71460;36;1985;1;117,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"57";2593;1;2143;2593;"DISPONENT";"0";21;5385;1996-09-09;71460;36;1985;1;117,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"58";2606;31;2153;2606;"OWNER";"0";56;5388;1996-11-28;61560;12;5130;1;105,714285714286;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"59";2623;16;2167;2623;"OWNER";"1";33;5390;1994-10-30;170256;24;7094;1;214,291666666667;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"60";2635;67;2176;2635;"OWNER";"1";32;5395;1994-07-30;299088;36;8308;-1;227,440476190476;"Bruntal";"north Moravia";106054;38;25;6;2;6;"63.1";8110;"5.77";"6.55";109;3244;3079;NA;NA;NA;NA
"61";2686;19;2218;2686;"OWNER";"1";48;5409;1995-11-18;182040;60;3034;1;159,434523809524;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"62";2687;19;2218;2687;"DISPONENT";"0";49;5409;1995-11-18;182040;60;3034;1;159,434523809524;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"63";2698;31;2227;2698;"OWNER";"1";28;5413;1995-12-12;92976;24;3874;1;156,005952380952;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"64";2699;31;2227;2699;"DISPONENT";"0";22;5413;1995-12-12;92976;24;3874;1;156,005952380952;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"65";2700;34;2228;2700;"OWNER";"0";54;5414;1995-03-29;185952;48;3874;1;192,869047619048;"Chomutov";"north Bohemia";125236;28;11;1;4;5;"87.7";9675;"6.43";"7.68";100;5323;5190;NA;NA;NA;NA
"66";2708;73;2236;2708;"OWNER";"0";40;5415;1996-09-26;139464;36;3874;-1;114,720238095238;"Opava";"north Moravia";182027;17;49;12;2;7;"56.4";8746;"3.33";"3.74";90;4355;4433;NA;NA;NA;NA
"67";2719;29;2245;2719;"OWNER";"1";34;5418;1995-01-16;347952;48;7249;1;203,14880952381;"Rokycany";"west Bohemia";45714;52;10;5;1;6;"55.6";8843;"2.82";"3.60";113;818;888;NA;NA;NA;NA
"68";2746;1;2268;2746;"OWNER";"0";28;5429;1996-07-18;20196;36;561;1;124,720238095238;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"69";2809;33;2322;2809;"OWNER";"0";20;5445;1996-06-29;46320;24;1930;1;127,434523809524;"Decin";"north Bohemia";133777;24;17;7;3;11;"84.7";8705;"5.75";"7.61";116;4650;4859;NA;NA;NA;NA
"70";2831;68;2343;2831;"OWNER";"1";18;5449;1995-11-04;99336;24;4139;1;161,434523809524;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;"57.2";9893;"4.09";"4.72";96;5623;5887;NA;NA;NA;NA
"71";2834;52;2345;2834;"OWNER";"0";49;5450;1994-12-11;199680;60;3328;1;208,291666666667;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"72";2843;70;2352;2843;"OWNER";"1";32;5452;1996-04-29;49440;60;824;1;136,14880952381;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"73";2853;28;2361;2853;"OWNER";"1";43;5453;1995-04-01;156672;36;4352;1;192,440476190476;"Plzen - sever";"west Bohemia";72541;66;26;10;0;8;"36.9";8594;"1.62";"2.01";112;1580;1525;NA;NA;NA;NA
"74";2922;43;2419;2922;"OWNER";"0";58;5464;1995-01-30;95808;12;7984;1;201,14880952381;"Hradec Kralove";"east Bohemia";161854;73;21;6;1;6;"76.3";9425;"1.72";"2.50";125;4085;3891;NA;NA;NA;NA
"75";2966;65;2456;2966;"OWNER";"0";44;5470;1996-04-15;200976;48;4187;1;138,14880952381;"Znojmo";"south Moravia";114200;101;41;4;1;4;"43.7";8403;"5.74";"5.72";105;2157;2718;NA;NA;NA;NA
"76";3001;1;2486;3001;"OWNER";"0";40;5479;1994-01-10;24516;12;2043;1;256,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"77";3013;51;2496;3013;"OWNER";"1";49;5482;1996-01-12;165120;60;2752;1;151,577380952381;"Trutnov";"east Bohemia";121947;37;28;7;3;11;"70.5";8541;"2.51";"2.97";131;3496;3839;NA;NA;NA;NA
"78";3014;51;2496;3014;"DISPONENT";"0";45;5482;1996-01-12;165120;60;2752;1;151,577380952381;"Trutnov";"east Bohemia";121947;37;28;7;3;11;"70.5";8541;"2.51";"2.97";131;3496;3839;NA;NA;NA;NA
"79";3103;64;2572;3103;"OWNER";"1";26;5494;1996-06-13;360000;48;7500;1;129,720238095238;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"80";3113;60;2580;3113;"OWNER";"1";27;5495;1996-08-02;89340;60;1489;1;122,577380952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"81";3114;60;2580;3114;"DISPONENT";"0";28;5495;1996-08-02;89340;60;1489;1;122,577380952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"82";3251;52;2694;3251;"OWNER";"1";36;5519;1994-03-08;91632;12;7636;1;248,005952380952;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"83";3252;52;2694;3252;"DISPONENT";"0";38;5519;1994-03-08;91632;12;7636;1;248,005952380952;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"84";3264;63;2705;3264;"OWNER";"1";48;5523;1993-12-08;93888;36;2608;1;260,863095238095;"Vyskov";"south Moravia";86513;38;36;5;1;5;"50.5";8288;"3.79";"4.52";110;1562;1460;NA;NA;NA;NA
"85";3335;11;2762;3335;"OWNER";"0";32;5533;1994-07-05;111384;24;4641;1;231,011904761905;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"86";3414;11;2824;3414;"OWNER";"1";51;5549;1994-07-16;50460;60;841;1;229,440476190476;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"87";3519;74;2912;3519;"OWNER";"0";49;5563;1996-02-29;380160;60;6336;1;144,720238095238;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"88";3542;10;2933;3542;"OWNER";"0";59;5568;1994-05-17;272520;60;4542;1;238,011904761905;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"89";3543;10;2933;3543;"DISPONENT";"1";57;5568;1994-05-17;272520;60;4542;1;238,011904761905;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"90";3576;1;2962;3576;"OWNER";"1";60;5576;1994-12-21;31248;12;2604;1;206,863095238095;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"91";3616;77;2994;3616;"OWNER";"1";35;5586;1996-09-14;48744;36;1354;1;116,434523809524;"Vsetin";"north Moravia";148545;8;35;12;3;4;"53.5";8909;"4.01";"5.56";113;3460;3590;NA;NA;NA;NA
"92";3649;10;3021;3649;"OWNER";"1";39;5591;1996-12-04;155616;48;3242;1;104,857142857143;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"93";3670;44;3037;3670;"OWNER";"1";18;5593;1996-04-18;277884;36;7719;-1;137,720238095238;"Chrudim";"east Bohemia";105606;77;26;7;2;7;"53.0";8254;"2.79";"3.76";97;2166;2325;NA;NA;NA;NA
"94";3687;49;3050;3687;"OWNER";"0";27;5595;1994-09-02;82896;12;6908;1;222,583333333333;"Semily";"east Bohemia";75685;31;28;5;1;9;"60.8";8208;"1.89";"2.26";155;1660;2123;577;"classic";1994-02-15;251,005952380952
"95";3688;49;3050;3688;"DISPONENT";"1";24;5595;1994-09-02;82896;12;6908;1;222,583333333333;"Semily";"east Bohemia";75685;31;28;5;1;9;"60.8";8208;"1.89";"2.26";155;1660;2123;NA;NA;NA;NA
"96";3705;1;3064;3705;"OWNER";"1";33;5599;1995-03-21;15420;12;1285;1;194,005952380952;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"97";3730;59;3084;3730;"OWNER";"1";53;5606;1996-08-28;253512;36;7042;-1;118,863095238095;"Kromeriz";"south Moravia";108871;41;29;7;2;6;"62.1";8444;"3.24";"3.47";106;2595;2305;NA;NA;NA;NA
"98";3763;38;3112;3763;"OWNER";"1";21;5610;1996-02-24;123216;48;2567;1;145,434523809524;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"99";3764;38;3112;3764;"DISPONENT";"0";21;5610;1996-02-24;123216;48;2567;1;145,434523809524;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
